match_id,date,league,season,team_id,opp_id,is_home,player_id,player,position,pos_slot,is_gk,started,yellow,red,minutes,rating,goals,assists,xg,xa,xg_np,shots,sot,shots_off,chances_created,touches,touches_box,dribbles,passes_acc,passes_f3,tackles,interceptions,blocks,clearances,recoveries,dribbled_past,ground_duels_won,aerials_won,duels_won,duels_lost,fouled,fouls,saves,goals_conceded,xgot_faced,saves_box,high_claims,punches,sweeper
4697863,2025-01-23,arg,2025,10084,10227,0,113615,Carlos Quintana,DF,36,0,1,0,0,83,7.68,0,0,,,,,,,0,37,0,,17,3,0,3,0,14,0,0,,4,4,1,,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,113696,Jorge Emanuel Broun,GK,11,1,1,0,0,90,7.15,,,,,,,,,,31,,,10,7,0,0,,1,8,,,,,,,0,0,0,,0,1,1,0
4697863,2025-01-23,arg,2025,10084,10227,0,362229,Ignacio Malcorra,MF,85,0,1,0,0,90,8.57,1,1,0.03,0.57,0.03,1,1,0,3,50,2,0,21,7,0,0,0,2,8,2,3,0,3,9,3,1,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,529624,Juan Komar,DF,,0,0,0,0,7,,0,0,,,,,,,0,4,0,,3,,0,0,0,0,0,0,,0,,,,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,727099,Facundo Mallo,DF,34,0,1,0,0,90,7.96,0,0,,0.01,,,,,0,50,0,,19,6,1,2,1,15,4,0,2,5,7,2,1,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,747221,Maximiliano Lovera,FW,,0,0,0,0,18,6.74,0,0,0.15,,0.15,2,1,0,0,7,4,2,0,,0,0,0,0,1,0,2,0,2,,,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,787284,Enzo Copetti,FW,115,0,1,0,0,82,8.75,1,1,0.13,0.03,0.13,2,1,0,2,27,8,2,11,2,0,0,0,1,5,0,3,5,8,7,1,2,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,837870,Jaminton Campaz,FW,87,0,1,0,0,72,7.76,1,0,0.2,0.03,0.2,2,1,1,1,36,3,2,17,3,1,0,0,0,5,1,4,2,6,9,1,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,847978,Franco Petroli,GK,11,1,1,0,0,90,5.01,,,,,,,,,,30,,,12,4,0,0,,2,7,,,,,,,0,2,3,1.1,0,2,1,0
4697863,2025-01-23,arg,2025,10084,10227,0,874620,Emanuel Coronel,DF,32,0,1,0,0,90,7.96,0,1,,0.03,,,,,1,42,0,0,15,8,3,0,1,7,5,0,3,0,3,4,,3,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,889729,Nicolas Fernandez,MF,,0,0,1,0,45,6.4,0,0,0.07,0.01,0.07,2,0,1,1,36,1,0,16,5,1,0,0,0,6,0,3,2,5,5,2,2,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1045037,Lucas Arce,DF,32,0,1,0,0,45,5.56,0,0,,0.08,,,,,1,26,1,,9,6,2,0,0,1,0,1,2,0,2,4,,2,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1075405,Franco Ibarra,MF,66,0,1,0,0,90,7.97,0,0,,0.01,,,,,0,61,0,1,21,9,7,2,1,4,8,4,12,2,14,12,4,2,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1085220,Martin Pino,FW,115,0,1,0,0,57,5.86,0,0,,0.05,,,,,1,19,4,0,8,1,0,0,0,0,0,0,0,1,1,4,,1,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1200027,Luca Martinez Dupuy,FW,,0,0,0,0,8,,0,0,,,,,,,0,2,0,,0,1,0,0,0,0,0,0,,1,1,,,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1211360,Matias Gonzalez,FW,83,0,1,0,0,90,6.74,0,0,0.05,0.01,0.05,1,0,1,0,31,3,2,11,1,3,0,0,0,5,1,7,1,8,6,2,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1211623,Vicente Poggi,MF,64,0,1,0,0,45,5.89,0,0,,0.01,,,,,0,30,0,,22,7,1,1,0,0,5,0,1,2,3,6,,3,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1218334,Agustin Sandez,DF,38,0,1,1,0,90,7.97,0,0,0.07,0.01,0.07,1,0,0,1,58,2,1,23,5,1,2,0,10,6,0,2,2,4,3,,2,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1220657,Lautaro Giaccone,FW,,0,0,0,0,18,6.15,0,0,,,,,,,0,7,0,,4,,0,0,0,0,2,0,1,0,1,1,1,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1230664,Gonzalo Abrego,MF,66,0,1,0,0,45,5.96,0,0,0.09,0.02,0.09,1,0,1,0,23,1,2,9,5,1,0,0,0,3,0,3,1,4,3,,1,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1277904,Bruno Sosa,MF,,0,0,1,0,45,6.25,0,0,,0.02,,,,,0,36,0,,30,7,0,1,0,0,3,2,0,2,2,3,,1,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1288591,Facundo Altamira,FW,,0,0,0,0,33,6.8,0,0,0.02,0.02,0.02,1,0,1,2,27,0,1,9,,1,0,0,0,4,0,2,0,2,2,,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1315604,Leandro Quiroz,DF,36,0,1,0,0,90,5.62,0,0,0.01,0.01,0.01,1,0,1,0,32,1,,16,8,0,0,1,2,2,1,0,4,4,3,,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1336567,Kevin Ortiz,MF,,0,0,0,0,27,6.97,0,0,,,,,,,0,17,0,1,5,2,2,1,0,1,2,0,3,0,3,,,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1362875,Facundo Ardiles,DF,,0,0,0,0,45,6.37,0,0,,0.01,,,,,1,27,0,,7,5,3,0,0,1,1,1,3,0,3,2,,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1372669,Tomas O'Connor,MF,64,0,1,0,0,63,7.07,0,0,,,,,,,0,18,0,,4,1,2,0,0,2,4,1,4,0,4,3,2,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1401243,Daniel Barrea,FW,87,0,1,0,0,57,5.85,0,0,,0.01,,,,,0,24,2,0,7,1,2,0,0,0,3,0,5,1,6,7,3,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1436206,Mateo Mendoza,DF,34,0,1,1,0,90,6.39,0,0,,0.01,,,,,0,67,0,,37,15,3,0,2,8,9,3,5,1,6,6,2,2,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1458519,Juan Perez,MF,85,0,1,0,0,90,6.57,0,0,0.05,0.04,0.05,2,0,1,0,52,0,3,22,8,1,2,0,0,3,0,5,0,5,5,1,0,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1509811,Kevin Parzajuk,FW,,0,0,0,0,33,5.82,0,0,0.02,0.01,0.02,1,0,0,0,13,1,,5,1,0,0,0,0,1,0,0,2,2,5,,2,,,,,,,
4697863,2025-01-23,arg,2025,10227,10084,1,1681472,Juan Moran,DF,38,0,1,0,0,90,5.85,0,0,0.02,0.01,0.02,1,0,1,0,45,0,2,12,7,1,3,0,1,1,0,3,0,3,3,,0,,,,,,,
4697863,2025-01-23,arg,2025,10084,10227,0,1684305,Gaspar Duarte,FW,83,0,1,1,0,72,6.88,0,0,0.23,0.01,0.23,2,1,1,0,30,4,0,6,,4,1,0,1,4,2,4,0,4,5,,1,,,,,,,
4697866,2025-01-23,arg,2025,10079,89396,0,288759,Francisco Pizzini,FW,72,0,1,0,0,68,5.35,0,0,0.15,0.01,0.15,3,1,1,0,44,2,1,17,5,0,0,0,0,0,1,1,0,1,6,,0,,,,,,,
4697866,2025-01-23,arg,2025,89396,10079,1,490660,Nehuén Paz,DF,36,0,1,0,0,90,6.94,0,0,0.06,,0.06,1,0,0,0,24,1,,9,4,0,0,0,5,0,0,,3,3,,,0,,,,,,,
4697866,2025-01-23,arg,2025,10079,89396,0,509189,Elias Gomez,DF,38,0,1,0,0,90,6.04,0,0,,0.09,,,,,0,87,1,1,55,11,1,0,1,2,5,2,5,2,7,6,3,0,,,,,,,
4697866,2025-01-23,arg,2025,10079,89396,0,523417,Emanuel Mammana,DF,34,0,1,0,0,90,5.96,0,0,0.03,0.04,0.03,1,0,0,1,112,0,,98,18,0,2,1,3,1,0,0,3,3,6,,2,,,,,,,
4697866,2025-01-23,arg,2025,10079,89396,0,615987,Braian Romero,FW,106,0,1,0,0,90,5.76,0,0,0.07,,0.07,2,0,1,0,21,3,0,6,1,1,0,0,1,0,0,2,0,2,5,1,1,,,,,,,
4697866,2025-01-23,arg,2025,89396,10079,1,622269,Joaquin Laso,DF,34,0,1,0,0,90,7.53,0,0,,0.01,,,,,0,41,0,1,20,6,2,1,1,7,2,0,3,0,3,,,0,,,,,,,
4697866,2025-01-23,arg,2025,10079,89396,0,675102,Michael Santos,FW,104,0,1,0,0,57,5.54,0,0,,,,,,,0,18,1,,4,1,1,0,0,1,1,3,2,1,3,8,1,0,,,,,,,
4697866,2025-01-23,arg,2025,10079,89396,0,723682,Agustin Bouzat,MF,76,0,1,1,0,90,7.07,0,0,,0.01,,,,,0,58,0,1,28,12,5,0,0,1,5,0,6,2,8,2,1,1,,,,,,,
4697866,2025-01-23,arg,2025,89396,10079,1,725782,Hector Fertoli,MF,,0,0,0,0,29,5.98,0,0,0.4,,0.4,1,0,1,0,16,1,,7,2,0,0,0,0,1,1,1,0,1,2,1,0,,,,,,,
4697866,2025-01-23,arg,2025,89396,10079,1,867739,Diego Sosa,DF,,0,0,0,0,5,,0,0,,,,,,,0,6,0,,1,,0,0,0,1,0,0,,0,,,,0,,,,,,,
