match_id,date,league,season,team_id,opp_id,is_home,player_id,player,position,pos_slot,is_gk,started,yellow,red,minutes,rating,goals,assists,xg,xa,xg_np,shots,sot,shots_off,chances_created,touches,touches_box,dribbles,passes_acc,passes_f3,tackles,interceptions,blocks,clearances,recoveries,dribbled_past,ground_duels_won,aerials_won,duels_won,duels_lost,fouled,fouls,saves,goals_conceded,xgot_faced,saves_box,high_claims,punches,sweeper
5795363,2026-08-21,eng,2026/2027,8669,9825,0,478357,Matt Grimes,MF,75,0,1,0,0,90,6.39,0,0,,0.01,,,,,0,67,0,,50,13,0,0,1,3,3,0,2,3,5,1,2,0,,,,,,,
5795363,2026-08-21,eng,2026/2027,9825,8669,1,534670,Martin Ødegaard,MF,73,0,1,0,0,76,8.58,1,0,0.21,0.1,0.21,3,1,0,3,72,6,,52,4,3,0,0,1,4,0,4,0,4,2,1,0,,,,,,,
5795363,2026-08-21,eng,2026/2027,9825,8669,1,562727,David Raya,GK,11,1,1,0,0,90,7.32,,,,,,,,,,27,,,14,1,0,0,,1,8,,,,,,,0,1,0,0.04,1,0,0,2
5795363,2026-08-21,eng,2026/2027,9825,8669,1,574645,Mikel Merino,MF,,0,0,0,0,14,6.51,0,0,0.14,0.02,0.14,2,1,0,0,15,2,1,11,2,0,0,0,0,2,0,1,0,1,1,,1,,,,,,,
5795363,2026-08-21,eng,2026/2027,8669,9825,0,643717,Taiwo Awoniyi,FW,,0,0,0,0,20,6.18,0,0,,,,,,,0,7,0,,4,,0,0,0,0,1,0,1,0,1,,1,0,,,,,,,
5795363,2026-08-21,eng,2026/2027,9825,8669,1,654096,Declan Rice,MF,77,0,1,0,0,68,7.19,0,0,0.07,0.08,0.07,2,0,2,0,85,0,,71,12,0,1,0,2,3,1,0,0,,3,,2,,,,,,,
5795363,2026-08-21,eng,2026/2027,9825,8669,1,749736,Kai Havertz,FW,105,0,1,0,0,90,7.94,1,0,0.26,0.03,0.26,1,1,0,1,38,5,0,20,3,0,1,0,1,0,0,2,3,5,5,2,2,,,,,,,
5795363,2026-08-21,eng,2026/2027,8669,9825,0,759814,Jay Dasilva,DF,38,0,1,0,0,90,5.43,0,0,,0.02,,,,,0,45,0,1,22,2,0,0,1,5,1,1,1,1,2,3,,0,,,,,,,
5795363,2026-08-21,eng,2026/2027,8669,9825,0,775355,Gustavo Hamer,FW,,0,0,0,0,8,,0,0,,,,,,,0,8,0,0,5,1,0,0,0,0,1,0,0,1,1,2,,0,,,,,,,
5795363,2026-08-21,eng,2026/2027,9825,8669,1,776151,Ben White,DF,32,0,1,0,0,90,8.36,0,1,0.18,0.21,0.18,1,0,0,2,94,5,,74,12,1,1,0,3,3,0,1,3,4,3,,1,,,,,,,
