match_id,date,league,season,team_id,opp_id,is_home,player_id,player,position,pos_slot,is_gk,started,yellow,red,minutes,rating,goals,assists,xg,xa,xg_np,shots,sot,shots_off,chances_created,touches,touches_box,dribbles,passes_acc,passes_f3,tackles,interceptions,blocks,clearances,recoveries,dribbled_past,ground_duels_won,aerials_won,duels_won,duels_lost,fouled,fouls,saves,goals_conceded,xgot_faced,saves_box,high_claims,punches,sweeper
3629099,2021-08-13,esp,2021/2022,10267,8305,1,74169,Daniel Wass,MF,76,0,1,1,0,69,6.66,0,0,,0.01,,,,,0,22,0,,11,4,1,0,0,0,2,0,1,2,3,2,,2,,,,,,,
3629099,2021-08-13,esp,2021/2022,10267,8305,1,177503,Gabriel Paulista,DF,33,0,1,0,0,90,7.4,0,0,,,,,,,0,23,0,,6,4,0,2,1,8,1,1,1,3,4,2,1,0,,,,,,,
3629099,2021-08-13,esp,2021/2022,8305,10267,0,195335,Damian Suarez,DF,72,0,1,0,0,79,7.16,0,0,0.08,0.18,0.08,1,1,0,2,66,0,,42,7,1,0,0,0,3,0,1,0,1,1,,0,,,,,,,
3629099,2021-08-13,esp,2021/2022,8305,10267,0,196203,Stefan Mitrovic,DF,36,0,1,0,0,45,6.3,0,0,,,,,,,0,31,0,,23,2,0,0,0,0,3,0,,1,1,1,,1,,,,,,,
3629099,2021-08-13,esp,2021/2022,8305,10267,0,213805,Vitolo,MF,,0,0,0,0,45,7.05,0,0,0.01,0.09,0.01,1,0,0,1,51,0,2,30,2,1,1,0,0,1,0,6,1,7,5,3,1,,,,,,,
3629099,2021-08-13,esp,2021/2022,10267,8305,1,359195,Ruben Sobrino,MF,,0,0,0,0,13,6.59,0,0,,,,,,,0,6,0,1,1,,1,2,0,0,0,0,2,1,3,2,,2,,,,,,,
3629099,2021-08-13,esp,2021/2022,10267,8305,1,359197,Denis Cheryshev,FW,78,0,1,0,0,77,7.79,0,0,0.22,,0.22,1,1,0,0,32,0,1,12,1,0,4,0,4,7,1,2,0,2,4,1,1,,,,,,,
3629099,2021-08-13,esp,2021/2022,10267,8305,1,391058,José Gayà,DF,39,0,1,1,0,90,6.64,0,0,,,,,,,0,28,0,,6,4,0,1,0,3,1,1,2,0,2,6,2,4,,,,,,,
3629099,2021-08-13,esp,2021/2022,8305,10267,0,421365,Djené,DF,32,0,1,0,0,90,7.16,0,0,,0.12,,,,,3,88,0,1,69,14,2,0,0,1,4,1,5,1,6,3,2,2,,,,,,,
3629099,2021-08-13,esp,2021/2022,10267,8305,1,451984,Jason,FW,,0,0,1,0,4,,0,0,,,,,,,0,7,0,,3,,0,0,0,0,1,1,0,0,,2,,1,,,,,,,
