match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
4393183,2024-05-10,arg,2024,Liga Profesional,1,Sebastián Nicolás Martínez,202757,Sarmiento,10090,Instituto,1,1,2,39,61,16,9,5,3,5,4,6,2,0,0,8,4,8,5,7,3,0,2,0,2,28,14,12,10,3,4,0,0,2,2,15,16,15,4,2,6,15,38,1,5,49,55,29.0,35.0,20.0,20.0,6.0,7.0,258,423,152.0,307.0,61,113,91,194,13.0,36.0,2.0,0.0,1.23,1.18,0.41,1.18,0.81,0.0,1.23,1.18,0.69,0.65,3,0,2,3,3,1,6,4,2,1,0.8195,0.0,0.1319,0.9453,0.1323,0.0671,0.1058,0.1588,0.0433,0.0137,8,9,0,0,4,0,4,0,0,0,0.4149,1.185,0.0,0.0,0.6633,0.0,0.1545,0.0,0.0,0.0,16,9,19.79,20.51
4393183,2024-05-10,arg,2024,Liga Profesional,1,Sebastián Nicolás Martínez,10090,Instituto,202757,Sarmiento,0,2,1,61,39,9,16,3,5,4,5,2,6,0,0,4,8,5,8,3,7,2,0,2,0,14,28,10,12,4,3,0,0,2,2,16,15,4,15,6,2,38,15,5,1,55,49,35.0,29.0,20.0,20.0,7.0,6.0,423,258,307.0,152.0,113,61,194,91,36.0,13.0,0.0,2.0,1.18,1.23,1.18,0.41,0.0,0.81,1.18,1.23,0.65,0.69,0,3,3,2,1,3,4,6,1,2,0.0,0.8195,0.9453,0.1319,0.0671,0.1323,0.1588,0.1058,0.0137,0.0433,9,8,0,0,0,4,0,4,0,0,1.185,0.4149,0.0,0.0,0.0,0.6633,0.0,0.1545,0.0,0.0,9,16,20.51,19.79
4393174,2024-05-11,arg,2024,Liga Profesional,1,Nicolás Ramírez,10076,River Plate,213596,Central Cordoba de Santiago,1,3,0,65,35,23,5,13,2,5,3,5,0,1,0,16,3,7,2,7,2,4,0,3,0,43,6,17,12,2,4,0,1,3,0,23,12,14,9,0,5,6,21,2,10,53,39,46.0,33.0,7.0,6.0,11.0,4.0,528,284,453.0,212.0,207,133,246,79,33.0,21.0,5.0,2.0,2.62,0.28,2.41,0.23,0.21,0.04,2.62,0.28,3.86,0.38,1,0,9,3,6,0,7,2,0,0,0.2956,0.0,1.633,0.2064,0.2596,0.0,0.4677,0.0706,0.0,0.0,20,4,1,0,1,0,1,1,0,0,1.9417,0.233,0.5026,0.0,0.0227,0.0,0.1889,0.044,0.0,0.0,23,5,17.05,19.11
4393174,2024-05-11,arg,2024,Liga Profesional,1,Nicolás Ramírez,213596,Central Cordoba de Santiago,10076,River Plate,0,0,3,35,65,5,23,2,13,3,5,0,5,0,1,3,16,2,7,2,7,0,4,0,3,6,43,12,17,4,2,1,0,0,3,12,23,9,14,5,0,21,6,10,2,39,53,33.0,46.0,6.0,7.0,4.0,11.0,284,528,212.0,453.0,133,207,79,246,21.0,33.0,2.0,5.0,0.28,2.62,0.23,2.41,0.04,0.21,0.28,2.62,0.38,3.86,0,1,3,9,0,6,2,7,0,0,0.0,0.2956,0.2064,1.633,0.0,0.2596,0.0706,0.4677,0.0,0.0,4,20,0,1,0,1,1,1,0,0,0.233,1.9417,0.0,0.5026,0.0,0.0227,0.044,0.1889,0.0,0.0,5,23,19.11,17.05
4393178,2024-05-11,arg,2024,Liga Profesional,1,Yael Falcón Pérez,10078,Independiente,10101,Talleres,1,1,3,47,53,7,14,6,9,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,4,1,1,2,7,1,1,0.0,0.1805,0.19,0.5531,0.0489,0.054,0.1331,0.5187,0.0183,0.021,5,9,0,2,2,2,0,1,0,0,0.2604,0.9361,0.0,0.3207,0.13,0.0316,0.0,0.0389,0.0,0.0,7,14,17.55,20.44
4393178,2024-05-11,arg,2024,Liga Profesional,1,Yael Falcón Pérez,10101,Talleres,10078,Independiente,0,3,1,53,47,14,7,9,6,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,3,1,1,7,2,1,1,0.1805,0.0,0.5531,0.19,0.054,0.0489,0.5187,0.1331,0.021,0.0183,9,5,2,0,2,2,1,0,0,0,0.9361,0.2604,0.3207,0.0,0.0316,0.13,0.0389,0.0,0.0,0.0,14,7,20.44,17.55
4393179,2024-05-11,arg,2024,Liga Profesional,1,Andrés Merlos,10201,Newell's Old Boys,10089,Club Atletico Platense,1,2,0,59,41,11,10,8,1,3,6,0,3,0,0,9,6,2,4,1,5,3,1,2,1,19,14,13,17,3,4,0,0,1,0,26,22,10,11,3,0,21,20,1,6,77,60,57.0,41.0,20.0,19.0,15.0,8.0,392,268,302.0,174.0,158,91,144,83,25.0,29.0,3.0,6.0,1.18,0.5,0.97,0.28,0.21,0.22,1.18,0.5,3.04,0.09,1,0,7,6,1,0,1,4,1,0,0.2416,0.0,0.8049,0.3923,0.0384,0.0,0.1024,0.1056,0.0217,0.0,8,4,1,0,1,4,1,2,0,0,0.9336,0.2823,0.0692,0.0,0.1037,0.1522,0.1024,0.0634,0.0,0.0,11,10,14.37,16.57
4393179,2024-05-11,arg,2024,Liga Profesional,1,Andrés Merlos,10089,Club Atletico Platense,10201,Newell's Old Boys,0,0,2,41,59,10,11,1,8,6,3,3,0,0,0,6,9,4,2,5,1,1,3,1,2,14,19,17,13,4,3,0,0,0,1,22,26,11,10,0,3,20,21,6,1,60,77,41.0,57.0,19.0,20.0,8.0,15.0,268,392,174.0,302.0,91,158,83,144,29.0,25.0,6.0,3.0,0.5,1.18,0.28,0.97,0.22,0.21,0.5,1.18,0.09,3.04,0,1,6,7,0,1,4,1,0,1,0.0,0.2416,0.3923,0.8049,0.0,0.0384,0.1056,0.1024,0.0,0.0217,4,8,0,1,4,1,2,1,0,0,0.2823,0.9336,0.0,0.0692,0.1522,0.1037,0.0634,0.1024,0.0,0.0,10,11,16.57,14.37
4393181,2024-05-11,arg,2024,Liga Profesional,1,Darío Herrera,10081,Huracan,161730,Defensa y Justicia,1,3,1,47,53,16,12,6,4,4,6,6,2,0,0,8,6,8,6,6,5,2,1,0,1,16,16,13,14,1,4,0,1,5,1,24,11,9,2,2,6,17,26,3,3,62,54,46.0,39.0,16.0,15.0,9.0,17.0,382,426,315.0,338.0,191,214,124,124,30.0,27.0,3.0,4.0,1.63,0.52,0.62,0.44,0.22,0.08,0.84,0.52,2.29,1.2,0,0,4,4,4,2,3,5,5,1,0.0,0.0,1.1752,0.3288,0.2111,0.0768,0.1302,0.09,0.1112,0.0216,6,10,3,0,4,0,2,2,1,0,0.2965,0.4362,0.3209,0.0,0.1515,0.0,0.0705,0.0811,0.7884,0.0,16,12,19.58,20.27
4393181,2024-05-11,arg,2024,Liga Profesional,1,Darío Herrera,161730,Defensa y Justicia,10081,Huracan,0,1,3,53,47,12,16,4,6,6,4,2,6,0,0,6,8,6,8,5,6,1,2,1,0,16,16,14,13,4,1,1,0,1,5,11,24,2,9,6,2,26,17,3,3,54,62,39.0,46.0,15.0,16.0,17.0,9.0,426,382,338.0,315.0,214,191,124,124,27.0,30.0,4.0,3.0,0.52,1.63,0.44,0.62,0.08,0.22,0.52,0.84,1.2,2.29,0,0,4,4,2,4,5,3,1,5,0.0,0.0,0.3288,1.1752,0.0768,0.2111,0.09,0.1302,0.0216,0.1112,10,6,0,3,0,4,2,2,0,1,0.4362,0.2965,0.0,0.3209,0.0,0.1515,0.0811,0.0705,0.0,0.7884,12,16,20.27,19.58
4393184,2024-05-11,arg,2024,Liga Profesional,1,Silvio Trucco,10227,Godoy Cruz,213534,Barracas Central,1,0,1,60,40,26,9,6,4,11,2,9,3,0,0,12,2,14,7,7,5,2,2,2,1,31,7,15,6,0,1,0,0,1,3,19,11,16,10,2,10,17,28,3,5,43,44,32.0,32.0,11.0,12.0,7.0,7.0,376,252,293.0,159.0,142,98,151,61,24.0,10.0,6.0,2.0,1.94,0.64,1.13,0.54,0.82,0.1,1.94,0.64,0.94,1.28,2,0,7,2,3,0,7,4,7,3,0.5298,0.0,0.8364,0.4918,0.2393,0.0,0.1849,0.0641,0.209,0.085,14,4,3,1,7,2,2,2,0,0,0.837,0.5262,0.3313,0.01,0.7642,0.0338,0.0669,0.071,0.0,0.0,26,9,19.24,26.39
4393184,2024-05-11,arg,2024,Liga Profesional,1,Silvio Trucco,213534,Barracas Central,10227,Godoy Cruz,0,1,0,40,60,9,26,4,6,2,11,3,9,0,0,2,12,7,14,5,7,2,2,1,2,7,31,6,15,1,0,0,0,3,1,11,19,10,16,10,2,28,17,5,3,44,43,32.0,32.0,12.0,11.0,7.0,7.0,252,376,159.0,293.0,98,142,61,151,10.0,24.0,2.0,6.0,0.64,1.94,0.54,1.13,0.1,0.82,0.64,1.94,1.28,0.94,0,2,2,7,0,3,4,7,3,7,0.0,0.5298,0.4918,0.8364,0.0,0.2393,0.0641,0.1849,0.085,0.209,4,14,1,3,2,7,2,2,0,0,0.5262,0.837,0.01,0.3313,0.0338,0.7642,0.071,0.0669,0.0,0.0,9,26,26.39,19.24
4393188,2024-05-11,arg,2024,Liga Profesional,1,Hernán Mastrángelo,10086,Argentinos Juniors,10084,Rosario Central,1,3,2,60,40,16,10,9,4,7,4,0,2,1,1,6,4,10,6,6,0,2,2,1,1,20,9,10,12,1,4,0,0,1,1,16,16,7,7,2,0,12,31,3,6,51,52,35.0,32.0,16.0,20.0,9.0,6.0,497,327,396.0,228.0,204,123,192,105,33.0,25.0,6.0,2.0,1.46,0.69,0.42,0.54,0.25,0.15,0.67,0.69,3.28,0.85,0,0,5,2,1,2,8,5,2,1,0.0,0.0,1.0789,0.243,0.0184,0.2615,0.3251,0.1483,0.0367,0.0335,10,7,1,1,1,0,3,2,1,0,0.3998,0.3569,0.0184,0.1822,0.0186,0.0,0.2341,0.1472,0.7884,0.0,16,10,20.23,21.07
4393188,2024-05-11,arg,2024,Liga Profesional,1,Hernán Mastrángelo,10084,Rosario Central,10086,Argentinos Juniors,0,2,3,40,60,10,16,4,9,4,7,2,0,1,1,4,6,6,10,0,6,2,2,1,1,9,20,12,10,4,1,0,0,1,1,16,16,7,7,0,2,31,12,6,3,52,51,32.0,35.0,20.0,16.0,6.0,9.0,327,497,228.0,396.0,123,204,105,192,25.0,33.0,2.0,6.0,0.69,1.46,0.54,0.42,0.15,0.25,0.69,0.67,0.85,3.28,0,0,2,5,2,1,5,8,1,2,0.0,0.0,0.243,1.0789,0.2615,0.0184,0.1483,0.3251,0.0335,0.0367,7,10,1,1,0,1,2,3,0,1,0.3569,0.3998,0.1822,0.0184,0.0,0.0186,0.1472,0.2341,0.0,0.7884,10,16,21.07,20.23
4393177,2024-05-12,arg,2024,Liga Profesional,1,Pablo Echavarría,161727,Atletico Tucuman,10077,Boca Juniors,1,1,0,31,69,12,11,5,4,4,2,3,5,0,0,6,5,6,6,3,13,3,1,2,1,15,20,12,11,3,1,0,0,1,0,21,20,11,4,5,3,26,12,4,4,46,53,35.0,41.0,11.0,12.0,3.0,9.0,245,525,167.0,434.0,83,235,84,199,28.0,37.0,3.0,5.0,1.57,0.63,1.53,0.47,0.04,0.15,1.57,0.63,1.49,1.06,2,1,3,4,1,0,5,3,1,3,0.8641,0.0594,0.4728,0.4452,0.0426,0.0,0.1512,0.0627,0.0358,0.0593,10,7,1,0,0,3,1,1,0,0,1.5136,0.4741,0.017,0.0,0.0,0.093,0.0358,0.0594,0.0,0.0,12,11,20.59,20.52
4393177,2024-05-12,arg,2024,Liga Profesional,1,Pablo Echavarría,10077,Boca Juniors,161727,Atletico Tucuman,0,0,1,69,31,11,12,4,5,2,4,5,3,0,0,5,6,6,6,13,3,1,3,1,2,20,15,11,12,1,3,0,0,0,1,20,21,4,11,3,5,12,26,4,4,53,46,41.0,35.0,12.0,11.0,9.0,3.0,525,245,434.0,167.0,235,83,199,84,37.0,28.0,5.0,3.0,0.63,1.57,0.47,1.53,0.15,0.04,0.63,1.57,1.06,1.49,1,2,4,3,0,1,3,5,3,1,0.0594,0.8641,0.4452,0.4728,0.0,0.0426,0.0627,0.1512,0.0593,0.0358,7,10,0,1,3,0,1,1,0,0,0.4741,1.5136,0.0,0.017,0.093,0.0,0.0594,0.0358,0.0,0.0,11,12,20.52,20.59
4393185,2024-05-12,arg,2024,Liga Profesional,1,Sebastían Zunino,10082,Lanus,161729,Independiente Rivadavia,1,0,2,66,34,18,7,3,4,11,1,4,2,0,0,9,6,9,1,6,3,1,3,1,2,28,10,10,12,1,1,1,0,1,2,9,22,15,9,3,5,18,28,1,2,48,62,33.0,41.0,15.0,21.0,12.0,9.0,483,257,406.0,166.0,203,100,203,66,36.0,24.0,5.0,2.0,0.85,0.69,0.64,0.54,0.21,0.15,0.85,0.69,0.1,1.58,0,0,8,5,1,1,6,0,3,1,0.0,0.0,0.5449,0.6041,0.0336,0.0659,0.2118,0.0,0.0553,0.0182,13,5,0,1,2,1,3,0,0,0,0.6356,0.3965,0.0,0.1451,0.0255,0.1466,0.1844,0.0,0.0,0.0,18,7,20.56,14.3
4393185,2024-05-12,arg,2024,Liga Profesional,1,Sebastían Zunino,161729,Independiente Rivadavia,10082,Lanus,0,2,0,34,66,7,18,4,3,1,11,2,4,0,0,6,9,1,9,3,6,3,1,2,1,10,28,12,10,1,1,0,1,2,1,22,9,9,15,5,3,28,18,2,1,62,48,41.0,33.0,21.0,15.0,9.0,12.0,257,483,166.0,406.0,100,203,66,203,24.0,36.0,2.0,5.0,0.69,0.85,0.54,0.64,0.15,0.21,0.69,0.85,1.58,0.1,0,0,5,8,1,1,0,6,1,3,0.0,0.0,0.6041,0.5449,0.0659,0.0336,0.0,0.2118,0.0182,0.0553,5,13,1,0,1,2,0,3,0,0,0.3965,0.6356,0.1451,0.0,0.1466,0.0255,0.0,0.1844,0.0,0.0,7,18,14.3,20.56
4393186,2024-05-12,arg,2024,Liga Profesional,1,Leandro Rey Hilfer,298629,Deportivo Riestra,10083,San Lorenzo,1,1,0,25,75,8,6,3,0,4,3,1,3,0,0,7,3,1,3,3,4,0,0,0,0,15,23,13,12,5,4,0,0,0,0,17,12,14,14,3,1,39,16,0,2,55,45,37.0,29.0,18.0,16.0,9.0,4.0,199,584,102.0,490.0,24,197,78,293,20.0,33.0,5.0,8.0,0.51,0.31,0.4,0.13,0.11,0.18,0.51,0.31,1.0,0.0,0,0,6,3,1,0,1,3,0,0,0.0,0.0,0.2851,0.3872,0.0377,0.0,0.0306,0.1049,0.0,0.0,4,3,1,0,2,2,1,1,0,0,0.185,0.0918,0.1208,0.0,0.0336,0.3618,0.014,0.0385,0.0,0.0,8,6,15.52,17.74
4393186,2024-05-12,arg,2024,Liga Profesional,1,Leandro Rey Hilfer,10083,San Lorenzo,298629,Deportivo Riestra,0,0,1,75,25,6,8,0,3,3,4,3,1,0,0,3,7,3,1,4,3,0,0,0,0,23,15,12,13,4,5,0,0,0,0,12,17,14,14,1,3,16,39,2,0,45,55,29.0,37.0,16.0,18.0,4.0,9.0,584,199,490.0,102.0,197,24,293,78,33.0,20.0,8.0,5.0,0.31,0.51,0.13,0.4,0.18,0.11,0.31,0.51,0.0,1.0,0,0,3,6,0,1,3,1,0,0,0.0,0.0,0.3872,0.2851,0.0,0.0377,0.1049,0.0306,0.0,0.0,3,4,0,1,2,2,1,1,0,0,0.0918,0.185,0.0,0.1208,0.3618,0.0336,0.0385,0.014,0.0,0.0,6,8,17.74,15.52
4393187,2024-05-12,arg,2024,Liga Profesional,1,Carlos Andrés Gariano,89396,Tigre,10094,Estudiantes,1,0,1,59,41,11,9,2,3,7,4,2,2,0,0,8,3,3,6,8,2,1,0,1,0,17,16,11,14,2,1,0,0,2,0,16,23,10,10,1,1,8,19,2,2,65,61,48.0,45.0,17.0,16.0,18.0,11.0,535,382,454.0,293.0,247,184,207,109,28.0,23.0,7.0,1.0,0.89,0.54,0.85,0.37,0.04,0.16,0.89,0.54,0.95,0.69,0,0,7,2,1,1,0,5,3,1,0.0,0.0,0.7781,0.2844,0.0363,0.0475,0.0,0.1683,0.0727,0.0362,7,6,1,0,3,1,0,2,0,0,0.8051,0.372,0.0438,0.0,0.0382,0.0115,0.0,0.1529,0.0,0.0,11,9,15.61,21.47
4393187,2024-05-12,arg,2024,Liga Profesional,1,Carlos Andrés Gariano,10094,Estudiantes,89396,Tigre,0,1,0,41,59,9,11,3,2,4,7,2,2,0,0,3,8,6,3,2,8,0,1,0,1,16,17,14,11,1,2,0,0,0,2,23,16,10,10,1,1,19,8,2,2,61,65,45.0,48.0,16.0,17.0,11.0,18.0,382,535,293.0,454.0,184,247,109,207,23.0,28.0,1.0,7.0,0.54,0.89,0.37,0.85,0.16,0.04,0.54,0.89,0.69,0.95,0,0,2,7,1,1,5,0,1,3,0.0,0.0,0.2844,0.7781,0.0475,0.0363,0.1683,0.0,0.0362,0.0727,6,7,0,1,1,3,2,0,0,0,0.372,0.8051,0.0,0.0438,0.0115,0.0382,0.1529,0.0,0.0,0.0,9,11,21.47,15.61
4393189,2024-05-12,arg,2024,Liga Profesional,1,Nazareno Arasa,10092,Belgrano,10080,Racing Club,1,4,4,52,48,10,17,4,9,5,4,1,4,0,1,8,12,2,5,4,9,3,6,0,3,20,20,14,10,3,2,0,0,1,1,18,21,8,8,3,1,21,21,6,0,52,60,37.0,50.0,15.0,10.0,9.0,17.0,385,356,303.0,278.0,151,158,152,120,17.0,21.0,8.0,2.0,1.41,1.88,1.15,0.84,0.26,0.26,1.41,1.1,1.98,2.63,0,3,8,3,0,6,0,3,2,2,0.0,0.4159,1.3982,1.0662,0.0,0.3202,0.0,0.1027,0.014,0.013,5,11,0,0,2,3,3,2,0,1,1.1479,0.8699,0.0,0.0,0.1209,0.2229,0.1434,0.0368,0.0,0.7884,10,17,16.32,17.36
4393189,2024-05-12,arg,2024,Liga Profesional,1,Nazareno Arasa,10080,Racing Club,10092,Belgrano,0,4,4,48,52,17,10,9,4,4,5,4,1,1,0,12,8,5,2,9,4,6,3,3,0,20,20,10,14,2,3,0,0,1,1,21,18,8,8,1,3,21,21,0,6,60,52,50.0,37.0,10.0,15.0,17.0,9.0,356,385,278.0,303.0,158,151,120,152,21.0,17.0,2.0,8.0,1.88,1.41,0.84,1.15,0.26,0.26,1.1,1.41,2.63,1.98,3,0,3,8,6,0,3,0,2,2,0.4159,0.0,1.0662,1.3982,0.3202,0.0,0.1027,0.0,0.013,0.014,11,5,0,0,3,2,2,3,1,0,0.8699,1.1479,0.0,0.0,0.2229,0.1209,0.0368,0.1434,0.7884,0.0,17,10,17.36,16.32
4393180,2024-05-13,arg,2024,Liga Profesional,1,Franco Acita,10103,Gimnasia LP,10079,Velez Sarsfield,1,3,1,41,59,15,15,5,4,7,5,3,6,1,0,8,7,7,8,4,7,2,2,1,2,21,28,14,8,3,3,0,0,2,3,15,15,10,6,6,3,33,16,3,2,47,53,33.0,41.0,14.0,12.0,12.0,13.0,291,409,196.0,320.0,78,139,118,181,27.0,26.0,4.0,3.0,1.8,1.35,1.44,1.23,0.36,0.13,1.8,1.35,2.07,1.29,2,0,4,5,2,2,5,5,2,3,0.9163,0.0,0.4873,0.9347,0.086,0.0845,0.2655,0.2216,0.0468,0.1126,10,11,1,1,3,1,1,2,0,0,1.2983,1.1644,0.1409,0.0616,0.3349,0.0454,0.0278,0.0819,0.0,0.0,15,15,17.24,19.61
4393180,2024-05-13,arg,2024,Liga Profesional,1,Franco Acita,10079,Velez Sarsfield,10103,Gimnasia LP,0,1,3,59,41,15,15,4,5,5,7,6,3,0,1,7,8,8,7,7,4,2,2,2,1,28,21,8,14,3,3,0,0,3,2,15,15,6,10,3,6,16,33,2,3,53,47,41.0,33.0,12.0,14.0,13.0,12.0,409,291,320.0,196.0,139,78,181,118,26.0,27.0,3.0,4.0,1.35,1.8,1.23,1.44,0.13,0.36,1.35,1.8,1.29,2.07,0,2,5,4,2,2,5,5,3,2,0.0,0.9163,0.9347,0.4873,0.0845,0.086,0.2216,0.2655,0.1126,0.0468,11,10,1,1,1,3,2,1,0,0,1.1644,1.2983,0.0616,0.1409,0.0454,0.3349,0.0819,0.0278,0.0,0.0,15,15,19.61,17.24
4393182,2024-05-14,arg,2024,Liga Profesional,1,Fernando Espinoza,10096,Union,10087,Banfield,1,1,0,60,40,19,6,6,2,8,3,5,1,1,0,8,2,11,4,5,2,1,0,1,0,30,8,10,15,2,4,0,0,1,3,18,20,9,7,1,4,12,22,2,5,66,58,46.0,37.0,20.0,21.0,14.0,8.0,440,288,352.0,205.0,166,128,186,77,35.0,22.0,11.0,2.0,1.3,0.6,0.89,0.11,0.41,0.49,1.3,0.6,1.74,0.45,0,1,6,0,2,1,9,2,2,2,0.0,0.4138,0.8137,0.0,0.0771,0.025,0.3574,0.0941,0.0514,0.0668,13,3,0,1,2,0,4,2,0,0,0.8904,0.0731,0.0,0.0397,0.1443,0.0,0.2648,0.4869,0.0,0.0,19,6,19.62,21.38
4393182,2024-05-14,arg,2024,Liga Profesional,1,Fernando Espinoza,10087,Banfield,10096,Union,0,0,1,40,60,6,19,2,6,3,8,1,5,0,1,2,8,4,11,2,5,0,1,0,1,8,30,15,10,4,2,0,0,3,1,20,18,7,9,4,1,22,12,5,2,58,66,37.0,46.0,21.0,20.0,8.0,14.0,288,440,205.0,352.0,128,166,77,186,22.0,35.0,2.0,11.0,0.6,1.3,0.11,0.89,0.49,0.41,0.6,1.3,0.45,1.74,1,0,0,6,1,2,2,9,2,2,0.4138,0.0,0.0,0.8137,0.025,0.0771,0.0941,0.3574,0.0668,0.0514,3,13,1,0,0,2,2,4,0,0,0.0731,0.8904,0.0397,0.0,0.0,0.1443,0.4869,0.2648,0.0,0.0,6,19,21.38,19.62
4393163,2024-05-18,arg,2024,Liga Profesional,2,Pablo Dóvalo,10076,River Plate,10092,Belgrano,1,3,0,77,23,22,7,10,0,10,4,2,3,1,0,13,2,9,5,7,1,2,0,1,0,31,7,12,15,3,2,0,0,2,2,22,16,11,12,3,2,9,22,0,7,56,43,46.0,31.0,10.0,12.0,9.0,3.0,692,199,609.0,116.0,313,74,296,42,48.0,16.0,7.0,3.0,1.19,0.29,0.92,0.11,0.27,0.18,1.19,0.29,2.52,0.0,0,0,8,2,5,0,5,5,4,0,0.0,0.0,0.7389,0.1116,0.1846,0.0,0.163,0.1802,0.1042,0.0,15,5,0,0,5,0,2,2,0,0,0.9167,0.1105,0.0,0.0,0.1426,0.0,0.1313,0.1812,0.0,0.0,22,7,19.69,23.04
4393163,2024-05-18,arg,2024,Liga Profesional,2,Pablo Dóvalo,10092,Belgrano,10076,River Plate,0,0,3,23,77,7,22,0,10,4,10,3,2,0,1,2,13,5,9,1,7,0,2,0,1,7,31,15,12,2,3,0,0,2,2,16,22,12,11,2,3,22,9,7,0,43,56,31.0,46.0,12.0,10.0,3.0,9.0,199,692,116.0,609.0,74,313,42,296,16.0,48.0,3.0,7.0,0.29,1.19,0.11,0.92,0.18,0.27,0.29,1.19,0.0,2.52,0,0,2,8,0,5,5,5,0,4,0.0,0.0,0.1116,0.7389,0.0,0.1846,0.1802,0.163,0.0,0.1042,5,15,0,0,0,5,2,2,0,0,0.1105,0.9167,0.0,0.0,0.0,0.1426,0.1812,0.1313,0.0,0.0,7,22,23.04,19.69
