match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
4193450,2023-08-11,eng,2023/2024,Premier League,1,Craig Pawson,8191,Burnley,8456,Manchester City,1,0,3,34,66,6,17,1,8,3,4,2,5,0,0,5,14,1,3,6,5,0,3,0,1,,,11,8,0,0,1,0,0,1,12,17,7,4,5,2,16,6,5,1,36,44,23.0,31.0,13.0,13.0,3.0,3.0,365,706,290.0,634.0,195,379,95,255,24.0,34.0,3.0,4.0,0.33,2.08,0.3,1.08,0.02,1.0,0.33,2.08,0.02,2.73,1,4,2,7,2,3,1,2,0,1,0.0241,0.9744,0.1928,0.8393,0.0638,0.2028,0.0447,0.0409,0.0,0.019,5,9,0,1,1,3,0,4,0,0,0.3013,0.8816,0.0,0.1972,0.0241,0.2148,0.0,0.7828,0.0,0.0,6,17,15.24,13.86
4193450,2023-08-11,eng,2023/2024,Premier League,1,Craig Pawson,8456,Manchester City,8191,Burnley,0,3,0,66,34,17,6,8,1,4,3,5,2,0,0,14,5,3,1,5,6,3,0,1,0,,,8,11,0,0,0,1,1,0,17,12,4,7,2,5,6,16,1,5,44,36,31.0,23.0,13.0,13.0,3.0,3.0,706,365,634.0,290.0,379,195,255,95,34.0,24.0,4.0,3.0,2.08,0.33,1.08,0.3,1.0,0.02,2.08,0.33,2.73,0.02,4,1,7,2,3,2,2,1,1,0,0.9744,0.0241,0.8393,0.1928,0.2028,0.0638,0.0409,0.0447,0.019,0.0,9,5,1,0,3,1,4,0,0,0,0.8816,0.3013,0.1972,0.0,0.2148,0.0241,0.7828,0.0,0.0,0.0,17,6,13.86,15.24
4193451,2023-08-12,eng,2023/2024,Premier League,1,Michael Oliver,9825,Arsenal,10203,Nottingham Forest,1,2,1,78,22,15,6,7,2,3,3,5,1,0,0,8,4,7,2,8,3,0,2,0,1,,,12,12,2,2,0,0,2,1,19,17,7,8,1,5,9,16,1,5,47,56,35.0,36.0,12.0,20.0,4.0,7.0,769,200,693.0,137.0,314,72,379,65,15.0,19.0,3.0,1.0,0.83,1.18,0.73,0.95,0.11,0.24,0.83,1.18,1.98,0.95,1,2,3,2,4,0,6,1,1,1,0.0597,0.7877,0.4041,0.3525,0.1129,0.0,0.2281,0.0224,0.0278,0.0196,13,2,1,2,1,1,0,1,0,0,0.6912,0.2973,0.0358,0.6487,0.1055,0.2137,0.0,0.0224,0.0,0.0,15,6,18.54,16.71
4193451,2023-08-12,eng,2023/2024,Premier League,1,Michael Oliver,10203,Nottingham Forest,9825,Arsenal,0,1,2,22,78,6,15,2,7,3,3,1,5,0,0,4,8,2,7,3,8,2,0,1,0,,,12,12,2,2,0,0,1,2,17,19,8,7,5,1,16,9,5,1,56,47,36.0,35.0,20.0,12.0,7.0,4.0,200,769,137.0,693.0,72,314,65,379,19.0,15.0,1.0,3.0,1.18,0.83,0.95,0.73,0.24,0.11,1.18,0.83,0.95,1.98,2,1,2,3,0,4,1,6,1,1,0.7877,0.0597,0.3525,0.4041,0.0,0.1129,0.0224,0.2281,0.0196,0.0278,2,13,2,1,1,1,1,0,0,0,0.2973,0.6912,0.6487,0.0358,0.2137,0.1055,0.0224,0.0,0.0,0.0,6,15,16.71,18.54
4193452,2023-08-12,eng,2023/2024,Premier League,1,Peter Bankes,8678,AFC Bournemouth,8654,West Ham United,1,1,1,63,37,14,16,5,3,6,9,3,4,1,1,5,12,9,4,10,4,1,1,0,1,,,9,14,1,4,0,0,0,2,17,30,7,6,5,3,10,29,1,4,55,78,39.0,49.0,16.0,29.0,10.0,10.0,517,304,423.0,206.0,223,109,200,97,25.0,21.0,2.0,5.0,1.37,1.07,1.26,0.57,0.11,0.5,1.37,1.07,1.4,0.7,1,3,3,8,1,1,5,3,4,1,0.8712,0.4594,0.1087,0.4446,0.0652,0.0406,0.2051,0.1023,0.1223,0.0234,10,12,0,0,2,3,2,1,0,0,1.2588,0.5703,0.0,0.0,0.0458,0.4594,0.0679,0.0406,0.0,0.0,14,16,19.98,15.83
4193452,2023-08-12,eng,2023/2024,Premier League,1,Peter Bankes,8654,West Ham United,8678,AFC Bournemouth,0,1,1,37,63,16,14,3,5,9,6,4,3,1,1,12,5,4,9,4,10,1,1,1,0,,,14,9,4,1,0,0,2,0,30,17,6,7,3,5,29,10,4,1,78,55,49.0,39.0,29.0,16.0,10.0,10.0,304,517,206.0,423.0,109,223,97,200,21.0,25.0,5.0,2.0,1.07,1.37,0.57,1.26,0.5,0.11,1.07,1.37,0.7,1.4,3,1,8,3,1,1,3,5,1,4,0.4594,0.8712,0.4446,0.1087,0.0406,0.0652,0.1023,0.2051,0.0234,0.1223,12,10,0,0,3,2,1,2,0,0,0.5703,1.2588,0.0,0.0,0.4594,0.0458,0.0406,0.0679,0.0,0.0,16,14,15.83,19.98
4193453,2023-08-12,eng,2023/2024,Premier League,1,David Coote,10204,Brighton & Hove Albion,8346,Luton Town,1,4,1,71,29,27,9,12,3,10,4,5,2,3,0,20,7,7,2,6,7,6,2,2,1,51,21,11,12,2,2,0,0,2,3,13,17,4,9,2,5,13,27,2,8,43,48,31.0,27.0,12.0,21.0,6.0,1.0,605,234,551.0,168.0,279,87,272,81,17.0,31.0,7.0,6.0,4.01,1.48,3.03,0.48,0.19,0.21,3.22,0.69,4.87,1.11,3,1,13,5,4,1,3,2,4,0,1.1817,0.2512,2.5865,1.167,0.1495,0.0258,0.0476,0.0341,0.0456,0.0,20,3,0,2,3,3,3,0,1,1,3.0342,0.2048,0.0,0.277,0.1341,0.2079,0.0542,0.0,0.7884,0.7884,27,9,16.04,13.66
4193453,2023-08-12,eng,2023/2024,Premier League,1,David Coote,8346,Luton Town,10204,Brighton & Hove Albion,0,1,4,29,71,9,27,3,12,4,10,2,5,0,3,7,20,2,7,7,6,2,6,1,2,21,51,12,11,2,2,0,0,3,2,17,13,9,4,5,2,27,13,8,2,48,43,27.0,31.0,21.0,12.0,1.0,6.0,234,605,168.0,551.0,87,279,81,272,31.0,17.0,6.0,7.0,1.48,4.01,0.48,3.03,0.21,0.19,0.69,3.22,1.11,4.87,1,3,5,13,1,4,2,3,0,4,0.2512,1.1817,1.167,2.5865,0.0258,0.1495,0.0341,0.0476,0.0,0.0456,3,20,2,0,3,3,0,3,1,1,0.2048,3.0342,0.277,0.0,0.2079,0.1341,0.0,0.0542,0.7884,0.7884,9,27,13.66,16.04
4193454,2023-08-12,eng,2023/2024,Premier League,1,Stuart Attwell,8668,Everton,9879,Fulham,1,0,1,41,59,19,9,9,2,6,6,4,1,1,1,14,6,5,3,10,4,4,2,4,1,,,12,6,0,2,0,0,6,3,13,10,13,4,1,4,16,29,1,9,35,42,26.0,27.0,9.0,15.0,7.0,6.0,366,556,288.0,470.0,133,285,155,185,30.0,26.0,5.0,3.0,2.73,1.5,2.55,1.43,0.18,0.07,2.73,1.5,3.31,1.12,2,2,8,4,4,0,4,2,1,1,0.8311,1.0146,1.5243,0.3522,0.2111,0.0,0.134,0.0683,0.0374,0.0729,7,7,5,0,5,2,2,0,0,0,1.7565,1.4397,0.8025,0.0,0.1381,0.0683,0.0408,0.0,0.0,0.0,19,9,15.27,12.6
4193454,2023-08-12,eng,2023/2024,Premier League,1,Stuart Attwell,9879,Fulham,8668,Everton,0,1,0,59,41,9,19,2,9,6,6,1,4,1,1,6,14,3,5,4,10,2,4,1,4,,,6,12,2,0,0,0,3,6,10,13,4,13,4,1,29,16,9,1,42,35,27.0,26.0,15.0,9.0,6.0,7.0,556,366,470.0,288.0,285,133,185,155,26.0,30.0,3.0,5.0,1.5,2.73,1.43,2.55,0.07,0.18,1.5,2.73,1.12,3.31,2,2,4,8,0,4,2,4,1,1,1.0146,0.8311,0.3522,1.5243,0.0,0.2111,0.0683,0.134,0.0729,0.0374,7,7,0,5,2,5,0,2,0,0,1.4397,1.7565,0.0,0.8025,0.0683,0.1381,0.0,0.0408,0.0,0.0,9,19,12.6,15.27
