match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
4219159,2023-08-11,fra,2023/2024,Ligue 1,1,Benoît Bastien,9831,Nice,8639,Lille,1,1,1,40,60,8,12,3,5,3,3,2,4,0,0,5,8,3,4,3,3,2,2,1,1,,,13,9,3,2,0,0,5,1,16,26,7,8,4,2,17,4,4,2,55,57,47.0,51.0,8.0,6.0,23.0,14.0,383,582,323.0,513.0,255,266,68,247,17.0,22.0,3.0,5.0,1.17,1.33,1.05,1.04,0.12,0.29,1.17,1.33,1.53,2.07,0,1,5,4,1,3,1,2,1,2,0.0,0.2243,1.0614,0.8281,0.027,0.1904,0.0663,0.0591,0.0169,0.0516,4,10,1,0,2,0,1,2,0,0,0.6043,1.0652,0.4499,0.0,0.0511,0.0,0.0663,0.2884,0.0,0.0,8,12,16.59,16.56
4219159,2023-08-11,fra,2023/2024,Ligue 1,1,Benoît Bastien,8639,Lille,9831,Nice,0,1,1,60,40,12,8,5,3,3,3,4,2,0,0,8,5,4,3,3,3,2,2,1,1,,,9,13,2,3,0,0,1,5,26,16,8,7,2,4,4,17,2,4,57,55,51.0,47.0,6.0,8.0,14.0,23.0,582,383,513.0,323.0,266,255,247,68,22.0,17.0,5.0,3.0,1.33,1.17,1.04,1.05,0.29,0.12,1.33,1.17,2.07,1.53,1,0,4,5,3,1,2,1,2,1,0.2243,0.0,0.8281,1.0614,0.1904,0.027,0.0591,0.0663,0.0516,0.0169,10,4,0,1,0,2,2,1,0,0,1.0652,0.6043,0.0,0.4499,0.0,0.0511,0.2884,0.0663,0.0,0.0,12,8,16.56,16.59
4219151,2023-08-12,fra,2023/2024,Ligue 1,1,Bastien Dechepy,9847,Paris Saint-Germain,8689,Lorient,1,0,0,78,22,20,4,4,0,8,3,8,1,0,1,11,1,9,3,9,2,1,0,1,0,46,9,8,6,0,0,0,0,0,0,10,13,8,15,1,8,6,31,0,4,33,36,24.0,24.0,9.0,12.0,9.0,3.0,1001,286,939.0,218.0,186,149,753,69,17.0,14.0,9.0,0.0,1.24,0.12,1.15,0.12,0.09,0.01,1.24,0.12,0.54,0.0,0,0,7,0,4,1,5,1,4,2,0.0,0.0,0.7271,0.0,0.1531,0.0465,0.2548,0.0123,0.1023,0.0644,18,2,0,1,1,1,1,0,0,0,1.1507,0.1028,0.0,0.0123,0.0334,0.0081,0.0534,0.0,0.0,0.0,20,4,17.93,27.02
4219151,2023-08-12,fra,2023/2024,Ligue 1,1,Bastien Dechepy,8689,Lorient,9847,Paris Saint-Germain,0,0,0,22,78,4,20,0,4,3,8,1,8,1,0,1,11,3,9,2,9,0,1,0,1,9,46,6,8,0,0,0,0,0,0,13,10,15,8,8,1,31,6,4,0,36,33,24.0,24.0,12.0,9.0,3.0,9.0,286,1001,218.0,939.0,149,186,69,753,14.0,17.0,0.0,9.0,0.12,1.24,0.12,1.15,0.01,0.09,0.12,1.24,0.0,0.54,0,0,0,7,1,4,1,5,2,4,0.0,0.0,0.0,0.7271,0.0465,0.1531,0.0123,0.2548,0.0644,0.1023,2,18,1,0,1,1,0,1,0,0,0.1028,1.1507,0.0123,0.0,0.0081,0.0334,0.0,0.0534,0.0,0.0,4,20,27.02,17.93
4219154,2023-08-12,fra,2023/2024,Ligue 1,1,Eric Wattellier,8592,Marseille,9837,Reims,1,2,1,42,58,14,11,4,4,6,4,4,3,0,0,8,7,6,4,10,10,3,2,2,2,,,7,16,1,3,0,0,3,4,15,16,16,9,3,3,27,18,3,2,54,47,39.0,31.0,15.0,16.0,10.0,8.0,309,426,238.0,349.0,121,196,117,153,20.0,30.0,6.0,6.0,1.04,0.77,0.73,0.41,0.31,0.36,1.04,0.77,1.24,0.68,2,0,5,6,2,1,3,3,2,1,0.297,0.0,0.3009,0.4468,0.2123,0.2428,0.1673,0.0543,0.0652,0.0264,7,4,0,1,5,5,2,1,0,0,0.7342,0.3887,0.0,0.0248,0.1074,0.1812,0.2012,0.1756,0.0,0.0,14,11,15.6,17.64
4219154,2023-08-12,fra,2023/2024,Ligue 1,1,Eric Wattellier,9837,Reims,8592,Marseille,0,1,2,58,42,11,14,4,4,4,6,3,4,0,0,7,8,4,6,10,10,2,3,2,2,,,16,7,3,1,0,0,4,3,16,15,9,16,3,3,18,27,2,3,47,54,31.0,39.0,16.0,15.0,8.0,10.0,426,309,349.0,238.0,196,121,153,117,30.0,20.0,6.0,6.0,0.77,1.04,0.41,0.73,0.36,0.31,0.77,1.04,0.68,1.24,0,2,6,5,1,2,3,3,1,2,0.0,0.297,0.4468,0.3009,0.2428,0.2123,0.0543,0.1673,0.0264,0.0652,4,7,1,0,5,5,1,2,0,0,0.3887,0.7342,0.0248,0.0,0.1812,0.1074,0.1756,0.2012,0.0,0.0,11,14,17.64,15.6
4219152,2023-08-13,fra,2023/2024,Ligue 1,1,Jérôme Brisard,9848,Strasbourg,9748,Lyon,1,2,1,36,64,8,23,2,7,3,8,3,8,0,1,5,15,3,8,1,6,1,3,0,2,,,8,11,2,2,0,0,3,2,24,16,13,9,6,3,19,13,6,0,55,54,48.0,37.0,7.0,17.0,14.0,13.0,312,577,234.0,508.0,132,276,102,232,24.0,34.0,1.0,6.0,1.28,1.77,1.22,1.24,0.05,0.52,1.28,1.77,0.86,1.77,1,1,2,10,2,4,2,5,1,3,0.84,0.413,0.2739,0.8545,0.0877,0.2393,0.0326,0.1962,0.0425,0.0667,4,12,2,0,0,9,2,2,0,0,0.9484,0.8306,0.2739,0.0,0.0,0.8238,0.0544,0.1154,0.0,0.0,8,23,19.01,16.89
4219152,2023-08-13,fra,2023/2024,Ligue 1,1,Jérôme Brisard,9748,Lyon,9848,Strasbourg,0,1,2,64,36,23,8,7,2,8,3,8,3,1,0,15,5,8,3,6,1,3,1,2,0,,,11,8,2,2,0,0,2,3,16,24,9,13,3,6,13,19,0,6,54,55,37.0,48.0,17.0,7.0,13.0,14.0,577,312,508.0,234.0,276,132,232,102,34.0,24.0,6.0,1.0,1.77,1.28,1.24,1.22,0.52,0.05,1.77,1.28,1.77,0.86,1,1,10,2,4,2,5,2,3,1,0.413,0.84,0.8545,0.2739,0.2393,0.0877,0.1962,0.0326,0.0667,0.0425,12,4,0,2,9,0,2,2,0,0,0.8306,0.9484,0.0,0.2739,0.8238,0.0,0.1154,0.0544,0.0,0.0,23,8,16.89,19.01
4219153,2023-08-13,fra,2023/2024,Ligue 1,1,Jeremy Stinat,9851,Rennes,8550,Metz,1,5,1,70,30,29,9,14,3,7,2,8,4,0,0,23,6,6,3,5,4,5,1,2,1,,,7,10,0,2,0,0,1,4,18,17,7,11,4,7,11,17,3,9,55,39,47.0,30.0,8.0,9.0,19.0,7.0,707,286,650.0,233.0,295,127,355,106,21.0,28.0,7.0,7.0,4.08,0.45,3.99,0.26,0.09,0.19,4.08,0.45,5.02,0.87,3,0,13,4,7,2,4,2,2,1,1.7972,0.0,2.016,0.2403,0.3182,0.1104,0.1478,0.079,0.0321,0.0213,25,5,2,0,1,3,1,1,0,0,4.0288,0.2577,0.1897,0.0,0.059,0.1722,0.0338,0.021,0.0,0.0,29,9,15.21,15.56
4219153,2023-08-13,fra,2023/2024,Ligue 1,1,Jeremy Stinat,8550,Metz,9851,Rennes,0,1,5,30,70,9,29,3,14,2,7,4,8,0,0,6,23,3,6,4,5,1,5,1,2,,,10,7,2,0,0,0,4,1,17,18,11,7,7,4,17,11,9,3,39,55,30.0,47.0,9.0,8.0,7.0,19.0,286,707,233.0,650.0,127,295,106,355,28.0,21.0,7.0,7.0,0.45,4.08,0.26,3.99,0.19,0.09,0.45,4.08,0.87,5.02,0,3,4,13,2,7,2,4,1,2,0.0,1.7972,0.2403,2.016,0.1104,0.3182,0.079,0.1478,0.0213,0.0321,5,25,0,2,3,1,1,1,0,0,0.2577,4.0288,0.0,0.1897,0.1722,0.059,0.021,0.0338,0.0,0.0,9,29,15.56,15.21
