match_id,date,league,season,competition,round,referee,team_id,team,opp_id,opp,is_home,gf,ga,poss,poss_ag,shots,shots_ag,sot,sot_ag,shots_off,shots_off_ag,shots_blocked,shots_blocked_ag,woodwork,woodwork_ag,shots_box,shots_box_ag,shots_obox,shots_obox_ag,corners,corners_ag,bigchance,bigchance_ag,bigchance_missed,bigchance_missed_ag,touches_box,touches_box_ag,fouls,fouls_ag,yellow,yellow_ag,red,red_ag,offsides,offsides_ag,tackles,tackles_ag,interceptions,interceptions_ag,blocks,blocks_ag,clearances,clearances_ag,saves,saves_ag,duels_won,duels_won_ag,ground_duels_won,ground_duels_won_ag,aerials_won,aerials_won_ag,dribbles,dribbles_ag,passes,passes_ag,passes_acc,passes_acc_ag,passes_own_half,passes_own_half_ag,passes_opp_half,passes_opp_half_ag,long_balls_acc,long_balls_acc_ag,crosses_acc,crosses_acc_ag,xg,xg_ag,xg_op,xg_op_ag,xg_sp,xg_sp_ag,xg_np,xg_np_ag,xgot,xgot_ag,z_sixyard,z_sixyard_ag,z_box_c,z_box_c_ag,z_box_w,z_box_w_ag,z_out_c,z_out_c_ag,z_out_w,z_out_w_ag,z_sixyard_xg,z_sixyard_xg_ag,z_box_c_xg,z_box_c_xg_ag,z_box_w_xg,z_box_w_xg_ag,z_out_c_xg,z_out_c_xg_ag,z_out_w_xg,z_out_w_xg_ag,s_open,s_open_ag,s_fastbreak,s_fastbreak_ag,s_corner,s_corner_ag,s_freekick,s_freekick_ag,s_penalty,s_penalty_ag,s_open_xg,s_open_xg_ag,s_fastbreak_xg,s_fastbreak_xg_ag,s_corner_xg,s_corner_xg_ag,s_freekick_xg,s_freekick_xg_ag,s_penalty_xg,s_penalty_xg_ag,shotmap_n,shotmap_n_ag,shot_dist_avg,shot_dist_avg_ag
3656993,2021-08-21,ita,2021/2022,Serie A,1,Simone Sozza,8534,Empoli,8543,Lazio,1,1,3,45,55,16,8,4,4,7,3,5,1,2,0,11,8,5,0,5,3,1,2,1,0,,,13,10,2,1,0,0,2,0,23,26,12,15,1,6,14,16,1,2,42,54,36.0,47.0,6.0,7.0,5.0,8.0,451,567,372.0,491.0,171,243,201,248,29.0,42.0,4.0,4.0,1.21,1.51,1.09,0.47,0.11,0.25,1.21,0.73,0.94,2.1,0,1,7,3,4,4,4,0,1,0,0.0,0.1993,0.7818,1.0086,0.2321,0.306,0.2037,0.0,0.013,0.0,12,5,1,0,3,1,0,1,0,1,1.0543,0.4716,0.0616,0.0,0.1147,0.1993,0.0,0.0546,0.0,0.7884,16,8,17.1,13.34
3656993,2021-08-21,ita,2021/2022,Serie A,1,Simone Sozza,8543,Lazio,8534,Empoli,0,3,1,55,45,8,16,4,4,3,7,1,5,0,2,8,11,0,5,3,5,2,1,0,1,,,10,13,1,2,0,0,0,2,26,23,15,12,6,1,16,14,2,1,54,42,47.0,36.0,7.0,6.0,8.0,5.0,567,451,491.0,372.0,243,171,248,201,42.0,29.0,4.0,4.0,1.51,1.21,0.47,1.09,0.25,0.11,0.73,1.21,2.1,0.94,1,0,3,7,4,4,0,4,0,1,0.1993,0.0,1.0086,0.7818,0.306,0.2321,0.0,0.2037,0.0,0.013,5,12,0,1,1,3,1,0,1,0,0.4716,1.0543,0.0,0.0616,0.1993,0.1147,0.0546,0.0,0.7884,0.0,8,16,13.34,17.1
3656994,2021-08-21,ita,2021/2022,Serie A,1,Manuel Volpi,9876,Hellas Verona,7943,Sassuolo,1,2,3,39,61,15,18,4,7,8,6,3,5,1,0,11,9,4,9,7,4,5,2,4,0,,,11,12,1,2,1,0,0,1,12,7,7,5,4,3,8,15,4,2,40,39,31.0,30.0,9.0,9.0,7.0,12.0,312,525,257.0,465.0,110,294,147,171,30.0,27.0,9.0,1.0,2.45,1.63,1.15,1.42,0.51,0.21,1.66,1.63,1.91,2.89,3,0,5,7,3,2,4,7,0,2,0.9475,0.0,1.2333,1.1033,0.1392,0.0816,0.1283,0.3953,0.0,0.0532,7,15,0,0,4,2,3,1,1,0,1.1541,1.4231,0.0,0.0,0.2795,0.0858,0.2264,0.1245,0.7884,0.0,15,18,14.54,18.18
3656994,2021-08-21,ita,2021/2022,Serie A,1,Manuel Volpi,7943,Sassuolo,9876,Hellas Verona,0,3,2,61,39,18,15,7,4,6,8,5,3,0,1,9,11,9,4,4,7,2,5,0,4,,,12,11,2,1,0,1,1,0,7,12,5,7,3,4,15,8,2,4,39,40,30.0,31.0,9.0,9.0,12.0,7.0,525,312,465.0,257.0,294,110,171,147,27.0,30.0,1.0,9.0,1.63,2.45,1.42,1.15,0.21,0.51,1.63,1.66,2.89,1.91,0,3,7,5,2,3,7,4,2,0,0.0,0.9475,1.1033,1.2333,0.0816,0.1392,0.3953,0.1283,0.0532,0.0,15,7,0,0,2,4,1,3,0,1,1.4231,1.1541,0.0,0.0,0.0858,0.2795,0.1245,0.2264,0.0,0.7884,18,15,18.18,14.54
3656995,2021-08-21,ita,2021/2022,Serie A,1,Valerio Marini,8636,Inter,10233,Genoa,1,4,0,60,40,16,10,8,4,5,4,3,2,1,0,12,5,4,5,8,2,4,1,1,1,,,18,7,1,2,0,0,2,2,18,13,5,15,2,3,13,22,4,4,40,49,32.0,41.0,8.0,8.0,8.0,10.0,592,399,539.0,348.0,236,236,303,112,39.0,20.0,8.0,1.0,1.62,1.07,1.06,1.0,0.56,0.07,1.62,1.07,2.02,0.32,1,0,8,4,3,1,4,3,0,2,0.2416,0.0,1.0643,0.8247,0.2081,0.0699,0.1254,0.092,0.0,0.0816,11,7,1,1,3,0,1,2,0,0,0.9952,0.9616,0.0831,0.0348,0.4806,0.0,0.0803,0.0718,0.0,0.0,16,10,14.21,20.01
3656995,2021-08-21,ita,2021/2022,Serie A,1,Valerio Marini,10233,Genoa,8636,Inter,0,0,4,40,60,10,16,4,8,4,5,2,3,0,1,5,12,5,4,2,8,1,4,1,1,,,7,18,2,1,0,0,2,2,13,18,15,5,3,2,22,13,4,4,49,40,41.0,32.0,8.0,8.0,10.0,8.0,399,592,348.0,539.0,236,236,112,303,20.0,39.0,1.0,8.0,1.07,1.62,1.0,1.06,0.07,0.56,1.07,1.62,0.32,2.02,0,1,4,8,1,3,3,4,2,0,0.0,0.2416,0.8247,1.0643,0.0699,0.2081,0.092,0.1254,0.0816,0.0,7,11,1,1,0,3,2,1,0,0,0.9616,0.9952,0.0348,0.0831,0.0,0.4806,0.0718,0.0803,0.0,0.0,10,16,20.01,14.21
3656999,2021-08-21,ita,2021/2022,Serie A,1,Daniele Chiffi,9804,Torino,8524,Atalanta,1,1,2,48,52,21,7,8,2,5,1,8,4,1,0,10,5,11,2,5,1,1,1,1,0,,,17,13,2,2,0,0,0,0,14,17,13,8,4,8,9,22,0,6,62,86,39.0,43.0,23.0,43.0,12.0,9.0,380,418,279.0,298.0,127,178,152,120,23.0,30.0,5.0,2.0,1.29,0.72,1.05,0.68,0.24,0.04,1.29,0.72,0.74,1.23,1,1,5,4,4,0,10,0,1,2,0.0532,0.2616,0.6901,0.3856,0.1466,0.0,0.3832,0.0,0.0162,0.0709,17,6,0,0,2,1,2,0,0,0,1.0476,0.6803,0.0,0.0,0.0872,0.0379,0.1545,0.0,0.0,0.0,21,7,19.21,14.78
3656999,2021-08-21,ita,2021/2022,Serie A,1,Daniele Chiffi,8524,Atalanta,9804,Torino,0,2,1,52,48,7,21,2,8,1,5,4,8,0,1,5,10,2,11,1,5,1,1,0,1,,,13,17,2,2,0,0,0,0,17,14,8,13,8,4,22,9,6,0,86,62,43.0,39.0,43.0,23.0,9.0,12.0,418,380,298.0,279.0,178,127,120,152,30.0,23.0,2.0,5.0,0.72,1.29,0.68,1.05,0.04,0.24,0.72,1.29,1.23,0.74,1,1,4,5,0,4,0,10,2,1,0.2616,0.0532,0.3856,0.6901,0.0,0.1466,0.0,0.3832,0.0709,0.0162,6,17,0,0,1,2,0,2,0,0,0.6803,1.0476,0.0,0.0,0.0379,0.0872,0.0,0.1545,0.0,0.0,7,21,14.78,19.21
3656991,2021-08-22,ita,2021/2022,Serie A,1,Antonio Rapuano,9857,Bologna,6480,Salernitana,1,3,2,73,27,18,10,7,4,3,4,8,2,0,0,10,6,8,4,9,4,2,2,0,1,,,13,15,2,1,2,1,0,2,12,15,6,7,2,7,20,24,2,4,49,47,31.0,32.0,18.0,15.0,6.0,4.0,549,196,459.0,108.0,195,38,264,70,23.0,12.0,5.0,2.0,1.67,1.47,0.85,0.62,0.81,0.07,1.67,0.68,0.97,2.24,2,1,4,3,4,2,6,3,2,1,0.3303,0.385,0.6922,0.8826,0.1606,0.1193,0.4457,0.0782,0.0373,0.0446,11,7,0,0,4,1,3,1,0,1,0.8547,0.6531,0.0,0.0,0.4657,0.0236,0.3458,0.0446,0.0,0.7884,18,10,16.94,15.99
3656991,2021-08-22,ita,2021/2022,Serie A,1,Antonio Rapuano,6480,Salernitana,9857,Bologna,0,2,3,27,73,10,18,4,7,4,3,2,8,0,0,6,10,4,8,4,9,2,2,1,0,,,15,13,1,2,1,2,2,0,15,12,7,6,7,2,24,20,4,2,47,49,32.0,31.0,15.0,18.0,4.0,6.0,196,549,108.0,459.0,38,195,70,264,12.0,23.0,2.0,5.0,1.47,1.67,0.62,0.85,0.07,0.81,0.68,1.67,2.24,0.97,1,2,3,4,2,4,3,6,1,2,0.385,0.3303,0.8826,0.6922,0.1193,0.1606,0.0782,0.4457,0.0446,0.0373,7,11,0,0,1,4,1,3,1,0,0.6531,0.8547,0.0,0.0,0.0236,0.4657,0.0446,0.3458,0.7884,0.0,10,18,15.99,16.94
